"Country","Country_Code","GDP_2012","GDP_2015","GDP_2018","Maths_2012","Maths_2015","Maths_2018","Science_2012","Science_2015","Science_2018","Reading_2012","Reading_2015","Reading_2018","Means_Maths","Means_Science","Means_Reading","Mean_2012","Mean_2015","Mean_2018"
"Mexico","MEX",17162.92752,18284.88284,19844.64567,413,408,409,415,416,419,424,423,420,410,416.667,422.333,417.333,415.667,416
"North Macedonia","MKD",11839.61687,13831.22799,16358.66205,390,376,394,403,395,413,408,388,393,386.667,403.667,396.333,400.333,386.333,400
"Malta","MLT",29437.16903,36195.56319,42581.09786,472,479,472,484,465,457,484,447,448,474.333,468.667,459.667,480,463.667,459
"Montenegro","MNE",13863.88105,16337.25379,20689.98675,410,418,430,410,411,415,422,427,421,419.333,412,423.333,414,418.667,422
"Malaysia","MYS",23105.07529,27116.57626,31782.15336,421,446,440,420,443,438,398,431,415,435.667,433.667,414.667,413,440,431
"Netherlands","NLD",47272.10302,50302.06775,56328.94114,523,512,519,522,509,503,511,503,485,518,511.333,499.667,518.667,508,502.333
"Norway","NOR",65354.77925,60385.11676,65510.58527,489,502,501,495,498,490,504,513,499,497.333,494.333,505.333,496,504.333,496.667
"New Zealand","NZL",32986.18289,37475.17836,41005.42087,500,495,494,516,513,508,512,509,506,496.333,512.333,509,509.333,505.667,502.667
"Panama","PAN",18806.56302,22237.09305,25553.69671,390,377,353,396,395,365,397,376,377,373.333,385.333,383.333,394.333,382.667,365
"Peru","PER",11400.33573,12944.82234,14418.07067,368,387,400,373,397,404,384,398,401,385,391.333,394.333,375,394,401.667
"Philippines","PHL",6081.93667,7313.4098,8951.08565,379,363,353,391,372,357,399,353,340,365,373.333,364,389.667,362.667,350
"Poland","POL",23833.2097,26856.03522,31336.6035,518,504,516,526,501,511,518,506,512,512.667,512.667,512,520.667,503.667,513
"Portugal","PRT",26438.0163,29668.8592,33415.4379,487,492,492,489,501,492,488,498,492,490.333,494,492.667,488,497,492
"Qatar","QAT",122674.7237,123822.0833,126898.4259,376,402,414,384,418,419,388,402,407,397.333,407,399,382.667,407.333,413.333
"Romania","ROU",18931.5325,21631.77015,28206.35705,445,444,430,439,435,426,438,434,428,439.667,433.333,433.333,440.667,437.667,428
"Saudi Arabia","SAU",50491.5474,53897.94398,55335.67959,428,430,373,430,437,386,416,431,399,410.333,417.667,415.333,424.667,432.667,386
"Singapore","SGP",78978.82285,89007.4608,101531.6302,573,564,569,551,556,551,542,535,549,568.667,552.667,542,555.333,551.667,556.333
"Serbia","SRB",13933.83821,14922.13735,17434.91613,418,406,448,422,411,440,422,401,439,424,424.333,420.667,420.667,406,442.333
"Slovenia","SVN",29042.82027,31636.75003,38048.78466,501,510,509,514,513,507,481,505,495,506.667,511.333,493.667,498.667,509.333,503.667
"Sweden","SWE",45304.41571,48975.00451,53208.88436,478,494,502,485,493,499,483,500,506,491.333,492.333,496.333,482,495.667,502.333
"Thailand","THA",14727.14305,16293.6098,19051.33338,427,415,419,444,421,426,441,409,393,420.333,430.333,414.333,437.333,415,412.667
"Trinidad and Tobago","TTO",31770.1904,33698.66655,32014.78313,429,417,428,437,425,435,433,427,427,424.667,432.333,429,433,423,430
"Tunisia","TUN",10642.5379,11598.86038,12502.82019,388,367,397,398,386,404,404,361,395,384,396,386.667,396.667,371.333,398.667
"Turkey","TUR",20616.86987,25625.57463,28068.85941,448,420,454,463,425,468,475,428,466,440.667,452,456.333,462,424.333,462.667
"Ukraine","UKR",8481.77975,7972.43561,9249.46214,437,406,453,453,418,469,456,408,466,432,446.667,443.333,448.667,410.667,462.667
"Uruguay","URY",18930.9673,21300.97607,23572.17746,409,418,418,416,435,426,411,437,427,415,425.667,425,412,430,423.667
"United States","USA",51603.49726,56803.47243,62794.58565,481,470,478,497,496,502,498,497,505,476.333,498.333,500,492,487.667,495
"Vietnam","VNM",4949.13136,5989.75769,7447.81433,511,495,496,528,525,543,508,487,505,500.667,532,500,515.667,502.333,514.667
"Kosovo","XKX",8547.65238,9781.01968,11348.36345,381,362,366,393,378,365,398,347,353,369.667,378.667,366,390.667,362.333,361.333
